M200c M200m M500c Yszcyl_x_r200c Yszcyl_x_r200m Yszcyl_x_r500c Yszcyl_y_r200c Yszcyl_y_r200m Yszcyl_y_r500c Yszcyl_z_r200c Yszcyl_z_r200m Yszcyl_z_r500c Yszr200c Yszr200m Yszr500c halo_ids r200c r200m r500c
2.4883e+14 2.7086e+14 1.7315e+14 2.75212446845e-05 2.82241247959e-05 2.40744756735e-05 2.87281844677e-05 2.94206802517e-05 2.4987154678e-05 2.75208958892e-05 2.8221559458e-05 2.42142935387e-05 2.62334383253e-05 2.71597641006e-05 2.17748169838e-05 4 1028.01571429 1166.08857143 671.22
6.7969e+13 7.2878e+13 5.3659e+13 3.67883260403e-06 3.74738006174e-06 3.38760699666e-06 3.80610959584e-06 3.90891674404e-06 3.50293641723e-06 3.70199900878e-06 3.7808138475e-06 3.39155104648e-06 3.56241113798e-06 3.64735368927e-06 3.1668928884e-06 6 667.02 752.802857143 454.222857143
1.448e+14 1.6422e+14 9.2044e+13 1.16386579853e-05 1.23931688732e-05 9.14932126194e-06 1.11900122848e-05 1.18800612645e-05 8.77321073349e-06 1.16442425673e-05 1.22538858169e-05 9.0950780777e-06 1.01840898863e-05 1.09726391841e-05 7.35896575018e-06 7 858.277142857 986.941428571 543.734285714
2.2962e+14 2.5218e+14 1.334e+14 2.00394278662e-05 2.08159358065e-05 1.57675828884e-05 1.92114324326e-05 1.98969452357e-05 1.55663535552e-05 1.83437993373e-05 1.91908656515e-05 1.38756072431e-05 1.75120486816e-05 1.8440826405e-05 1.23809319909e-05 10 1000.86142857 1138.63428571 615.334285714
1.2558e+14 1.3812e+14 8.1984e+13 9.27886676008e-06 9.87754110259e-06 6.70770168325e-06 8.69976220381e-06 9.07797322258e-06 6.66963220585e-06 9.28709754587e-06 9.94547237377e-06 6.7273947753e-06 8.01000995574e-06 8.49525083782e-06 5.29294487743e-06 13 818.485714286 931.61 523.157142857
8.1609e+13 9.6386e+13 5.1882e+13 4.8674063433e-06 5.16952818944e-06 3.81143543445e-06 4.74359330951e-06 5.03242150353e-06 3.54703444283e-06 5.24725461004e-06 5.70325695488e-06 3.72021854445e-06 4.29939325367e-06 4.67874359589e-06 2.92106421682e-06 20 708.948571429 826.331428571 449.151428571
1.9407e+14 2.1187e+14 1.29e+14 1.84933386903e-05 1.89415824075e-05 1.60180931241e-05 1.83277670049e-05 1.87387599805e-05 1.55735005124e-05 1.84897897749e-05 1.90016058222e-05 1.59628170474e-05 1.74042839166e-05 1.80695951698e-05 1.38953352592e-05 25 946.282857143 1074.42 608.492857143
6.8271e+13 7.3614e+13 5.135e+13 4.08955827795e-06 4.24468710319e-06 3.514818071e-06 3.96962492449e-06 4.09480441539e-06 3.38831636315e-06 3.93175893195e-06 4.06826880937e-06 3.33411438049e-06 3.6923246285e-06 3.88250006185e-06 2.94698188649e-06 27 668.005714286 755.331428571 447.612857143
2.9923e+14 3.4123e+14 2.0468e+14 4.07261227719e-05 4.19175730639e-05 3.4543753375e-05 4.10608342447e-05 4.22605390994e-05 3.48556045724e-05 4.15825651226e-05 4.26665481516e-05 3.57511419972e-05 3.88344290253e-05 4.05048552475e-05 3.04338504302e-05 28 1093.21 1259.41142857 709.714285714
2.4608e+14 2.8908e+14 1.5155e+14 2.8117019143e-05 2.90353264732e-05 2.31486187736e-05 2.5971596654e-05 2.74358974029e-05 2.0549993661e-05 2.63385884361e-05 2.77258163259e-05 2.08199186877e-05 2.44195631834e-05 2.62331893899e-05 1.78078301178e-05 31 1024.22142857 1191.66714286 642.062857143
2.9669e+14 3.1969e+14 2.3283e+14 4.18865166841e-05 4.27223198001e-05 3.8114317618e-05 4.15167212195e-05 4.23081310906e-05 3.85384506708e-05 4.14491250122e-05 4.22679009589e-05 3.75712603968e-05 3.98179823618e-05 4.07865884897e-05 3.50886611545e-05 34 1090.10285714 1232.33142857 740.852857143
1.3543e+14 1.5833e+14 8.132e+13 9.75456018198e-06 1.04175699635e-05 7.38466186993e-06 1.01275608315e-05 1.07641382087e-05 7.53491506749e-06 1.06744157639e-05 1.10689052098e-05 8.98814418417e-06 9.23231813709e-06 1.00112649133e-05 6.44336310677e-06 35 839.338571429 974.994285714 521.74
2.5431e+14 2.8039e+14 1.3327e+14 2.37958598222e-05 2.46600922128e-05 1.79793046567e-05 2.1992908151e-05 2.30020410466e-05 1.5150691426e-05 2.17465187241e-05 2.28622884135e-05 1.39783527559e-05 2.0270608156e-05 2.17036734421e-05 1.15191398921e-05 37 1035.51285714 1179.60714286 615.13
1.5831e+14 1.7186e+14 1.1433e+14 1.09270014402e-05 1.12808013385e-05 9.54056893684e-06 1.14471981625e-05 1.18174006236e-05 9.64744922921e-06 1.13132744295e-05 1.17507605945e-05 9.71977567573e-06 1.03853859993e-05 1.08601874697e-05 8.47647847591e-06 38 884.17 1002.02 584.491428571
5.3201e+14 5.7568e+14 3.9075e+14 9.54998503657e-05 9.69781380021e-05 8.64229208701e-05 9.62891441379e-05 9.74872051264e-05 8.81769151354e-05 9.68285822389e-05 9.81435312972e-05 8.93035897292e-05 9.31472268612e-05 9.51003829766e-05 8.03738132787e-05 41 1324.36428571 1499.25857143 880.418571429
6.9765e+13 7.5268e+13 5.0692e+13 3.57430509089e-06 3.69991134744e-06 2.98984758325e-06 3.44623237949e-06 3.57432601052e-06 2.89109589041e-06 3.49799556335e-06 3.62009906915e-06 2.96326292698e-06 3.24503506282e-06 3.3919399817e-06 2.51946014043e-06 43 672.842857143 760.944285714 445.692857143
1.2288e+14 1.3574e+14 9.22e+13 1.00868244637e-05 1.0320041032e-05 8.7200505929e-06 1.04011907365e-05 1.06695928612e-05 9.07834410108e-06 1.03081366457e-05 1.06233844848e-05 8.94379824487e-06 9.69668547829e-06 1.00447196786e-05 7.8545586084e-06 44 812.572857143 926.221428571 544.042857143
2.59e+14 2.9175e+14 1.6207e+14 3.0769658031e-05 3.36115213948e-05 2.32166454417e-05 2.93178239761e-05 3.1989522687e-05 2.25202177275e-05 2.84850404997e-05 3.08611362335e-05 2.1785012458e-05 2.55568689357e-05 2.80107714552e-05 1.87353475683e-05 45 1041.83857143 1195.32142857 656.581428571
1.2065e+14 1.3232e+14 8.1139e+13 9.81210076959e-06 1.00571812378e-05 8.16909537027e-06 9.852086119e-06 1.00917237144e-05 8.25745117208e-06 1.06350588036e-05 1.1245540664e-05 8.48083709747e-06 9.30001484048e-06 9.66422824434e-06 7.10304137801e-06 47 807.625714286 918.387142857 521.352857143
1.9391e+14 2.1669e+14 1.2711e+14 1.84564872809e-05 1.9212199412e-05 1.46912045738e-05 1.88356954761e-05 1.97161465634e-05 1.50510137447e-05 2.03967077081e-05 2.11608021697e-05 1.60364535197e-05 1.7389177402e-05 1.8428521975e-05 1.2570862905e-05 54 946.02 1082.51142857 605.495714286
1.6511e+14 1.833e+14 1.1513e+14 1.25680221354e-05 1.29836477883e-05 1.11572810224e-05 1.24819995943e-05 1.28239851271e-05 1.1004526683e-05 1.36485891295e-05 1.40640597254e-05 1.17559941994e-05 1.19361457364e-05 1.2389574012e-05 9.92594263481e-06 59 896.658571429 1023.76714286 585.841428571
4.6075e+14 4.9545e+14 3.1291e+14 7.17893940407e-05 7.38019927151e-05 5.91003006661e-05 6.90974389616e-05 7.12027781508e-05 5.69660341132e-05 6.92723588209e-05 7.1572128406e-05 5.80122429534e-05 6.50667778673e-05 6.78696987355e-05 4.86923225033e-05 60 1262.37714286 1426.10142857 817.577142857
2.5815e+14 2.723e+14 1.7824e+14 2.54302550049e-05 2.58848441663e-05 2.14432896453e-05 2.34834287848e-05 2.3903679052e-05 2.13970966572e-05 2.32004604204e-05 2.37197360702e-05 1.99624898769e-05 2.24037028697e-05 2.30248058777e-05 1.83707758055e-05 62 1040.70571429 1168.15571429 677.732857143
1.0628e+14 1.1991e+14 7.5101e+13 8.11222406424e-06 8.49524715117e-06 6.75408232879e-06 8.15265178964e-06 8.59163954531e-06 6.79655476168e-06 8.02139442568e-06 8.31101990542e-06 6.73009034452e-06 7.40269520903e-06 7.78565139528e-06 5.82733350569e-06 63 774.205714286 888.732857143 508.084285714
6.2086e+13 6.6205e+13 4.3167e+13 2.61066751924e-06 2.80493136943e-06 2.02671983961e-06 2.53258202538e-06 2.60154223023e-06 1.96327592231e-06 2.54155869331e-06 2.61703091761e-06 1.96600459145e-06 2.36380271318e-06 2.51543939973e-06 1.60408009613e-06 67 647.19 729.088571429 422.445714286
8.7046e+13 9.4041e+13 6.1078e+13 5.12755966233e-06 5.38870241045e-06 4.33924897125e-06 4.8346376709e-06 5.00010285033e-06 4.13723753417e-06 4.7054800381e-06 4.86760473757e-06 4.02238386623e-06 4.47998701223e-06 4.68166728773e-06 3.61659946768e-06 68 724.354285714 819.574285714 474.261428571
1.5047e+14 1.6657e+14 1.0837e+14 1.42925330225e-05 1.4896128217e-05 1.18797404486e-05 1.30282910933e-05 1.35592186424e-05 1.1297534703e-05 1.29587563266e-05 1.35219596642e-05 1.13347522291e-05 1.21451065565e-05 1.27491454243e-05 1.02693440196e-05 69 869.325714286 991.634285714 574.141428571
1.7112e+14 1.9046e+14 1.0966e+14 1.29848368102e-05 1.34981445315e-05 1.03653988997e-05 1.27061137772e-05 1.31304171115e-05 1.04171538479e-05 1.25296403082e-05 1.30057437453e-05 9.8686570516e-06 1.17257913967e-05 1.24586880875e-05 8.6023077113e-06 70 907.397142857 1036.94142857 576.421428571
1.6357e+14 1.8093e+14 1.1142e+14 1.22956665901e-05 1.28746068416e-05 9.97182785032e-06 1.36186606847e-05 1.43769311285e-05 1.06612514863e-05 1.29367877384e-05 1.40893978012e-05 9.58359221554e-06 1.12788104355e-05 1.20969436168e-05 8.10650756401e-06 74 893.851428571 1019.35142857 579.49
1.0995e+14 1.2e+14 8.0365e+13 7.16570045345e-06 7.41420619574e-06 6.38248087682e-06 7.24216097561e-06 7.4845462299e-06 6.47940178206e-06 7.51429871262e-06 7.74843251605e-06 6.53460527049e-06 6.8679175939e-06 7.09956973157e-06 5.83434506165e-06 75 783.001428571 888.954285714 519.688571429
3.1034e+14 3.2335e+14 2.4199e+14 4.02221676626e-05 4.11043605426e-05 3.66609651664e-05 3.89601398787e-05 3.96163333882e-05 3.54775260331e-05 3.88901323397e-05 3.96620616508e-05 3.49811438457e-05 3.74676607985e-05 3.8458192346e-05 3.2868739332e-05 76 1106.57428571 1237.01571429 750.445714286
4.0875e+13 4.8409e+13 2.6927e+13 1.6570155502e-06 1.84437000307e-06 1.23494028819e-06 1.99954869689e-06 2.17912180642e-06 1.40493162261e-06 1.61022373003e-06 1.76445463634e-06 1.23756788023e-06 1.43458757868e-06 1.59958198979e-06 1.01411836483e-06 78 563.017142857 656.838571429 360.951428571
1.3133e+14 1.3796e+14 1.0473e+14 1.04157812701e-05 1.1255161134e-05 8.2703706929e-06 8.86644664395e-06 9.10474034672e-06 7.74832632919e-06 9.08231845373e-06 9.34316703334e-06 8.09328397468e-06 8.42686002644e-06 8.73986786085e-06 6.97006694441e-06 83 830.795714286 931.244285714 567.638571429
9.0112e+13 1.0086e+14 5.9759e+13 5.84354119622e-06 6.14916134233e-06 4.45770895529e-06 6.35645552321e-06 7.03215323922e-06 4.67132619822e-06 5.67480332842e-06 5.97039001535e-06 4.56678446325e-06 5.19327455469e-06 5.58324487642e-06 3.70604515131e-06 91 732.761428571 838.924285714 470.82
