M200m M500c Yszr500c Yszcyl_x_r500c Yszcyl_y_r500c Yszcyl_z_r500c halo_ids r200m r500c
4.5418e+14 1.7613e+14 1.37863936717e-05 1.90575004465e-05 1.78845158591e-05 1.72173706621e-05 108 2764.56142857 959.717142857
8.8311e+14 5.2104e+14 0.00010118336487 0.000110651344587 0.000110036935319 0.000110677757567 125 3450.55 1377.69285714
7.6643e+14 3.1044e+14 4.31944177416e-05 5.13826554362e-05 5.18942948703e-05 5.47971656383e-05 131 3291.35142857 1159.28
6.6782e+14 3.113e+14 3.85999587637e-05 4.57791964872e-05 4.50058775955e-05 4.49661487734e-05 132 3143.65714286 1160.34714286
7.1825e+14 3.8934e+14 6.24758055602e-05 7.17832834232e-05 7.14151447959e-05 7.18367711582e-05 135 3220.87714286 1250.17857143
5.3657e+14 1.9387e+14 2.00384476952e-05 2.37193481165e-05 2.76207410928e-05 2.6127213769e-05 140 2922.53428571 990.902857143
7.1587e+14 3.2338e+14 3.94203740314e-05 4.90258170089e-05 4.57670011295e-05 4.69676754589e-05 146 3217.31714286 1175.16285714
3.0158e+14 1.2818e+14 9.41017130741e-06 1.15558394718e-05 1.20478813345e-05 1.19787664817e-05 149 2411.86 863.248571429
1.0289e+15 4.3498e+14 7.44336800568e-05 8.54830342212e-05 8.79652894446e-05 8.71300773257e-05 153 3630.87285714 1297.23714286
6.5386e+14 3.2679e+14 5.32897440059e-05 5.93767131391e-05 5.80726105587e-05 5.92766683066e-05 156 3121.60142857 1179.28
5.053e+14 1.4611e+14 1.10456609135e-05 2.22074189796e-05 1.38625032654e-05 1.32954205441e-05 161 2864.61285714 901.755714286
3.9232e+14 1.5433e+14 1.22574217984e-05 1.55943216893e-05 1.42397733884e-05 1.48022963956e-05 175 2632.86571429 918.362857143
6.9273e+14 2.2564e+14 2.82981656588e-05 3.37945154051e-05 4.60105325376e-05 3.53538795222e-05 200 3182.27285714 1042.32
8.933e+14 4.1518e+14 6.00620108032e-05 7.3809887207e-05 7.79367689134e-05 7.51152265958e-05 201 3463.77 1277.24428571
8.4928e+14 4.7467e+14 7.6320071936e-05 8.92247874487e-05 8.92487500762e-05 9.21194758645e-05 217 3405.91571429 1335.54285714
3.7817e+14 1.3275e+14 1.05806051598e-05 1.38962215133e-05 1.41326853099e-05 1.3367176439e-05 223 2600.83142857 873.382857143
6.464e+14 2.8172e+14 3.33893917882e-05 4.07421138576e-05 4.28808454172e-05 4.13822416804e-05 229 3109.69 1122.36857143
3.9469e+14 2.0082e+14 1.90846309764e-05 2.26878175447e-05 2.15674020269e-05 2.14233788036e-05 248 2638.16428571 1002.61571429
6.7084e+14 3.1605e+14 3.54289494837e-05 4.27420551918e-05 4.16719172919e-05 4.3441143418e-05 284 3148.39285714 1166.22285714
7.5569e+14 2.797e+14 3.36493777842e-05 4.26615022572e-05 4.55711216136e-05 4.30217213384e-05 298 3275.90571429 1119.67142857
9.606e+14 4.3937e+14 5.368324552e-05 7.8062520704e-05 6.96493926612e-05 7.04770185323e-05 434 3548.65285714 1301.58714286
4.1507e+14 1.7917e+14 1.50234394179e-05 1.83720767484e-05 1.86125147612e-05 1.83675479611e-05 471 2682.82 965.201428571
3.4677e+14 1.5678e+14 1.31645733424e-05 1.5623923718e-05 1.69899427757e-05 1.54521024194e-05 732 2526.75285714 923.19
